"verbo","rota","arquivo","linha","guards","permissoes","recurso","estado"
"POST","/v1/admin/queue/:id/seat","apps/api/src/admin/fila.controller.ts","182","StaffGuard;PermissaoGuard","'appointments.attend'","'fila'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/financeiro/contas","apps/api/src/admin/financeiro.controller.ts","109","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/financeiro/contas","apps/api/src/admin/financeiro.controller.ts","128","StaffGuard;PermissaoGuard","'finance.bills_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/financeiro/contas/:id/quitar","apps/api/src/admin/financeiro.controller.ts","156","StaffGuard;PermissaoGuard","'finance.bills_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/financeiro/contas/:id/cancelar","apps/api/src/admin/financeiro.controller.ts","183","StaffGuard;PermissaoGuard","'finance.bills_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/financeiro/categorias","apps/api/src/admin/financeiro.controller.ts","206","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/financeiro/categorias","apps/api/src/admin/financeiro.controller.ts","212","StaffGuard;PermissaoGuard","'finance.bills_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/financeiro/categorias/:id","apps/api/src/admin/financeiro.controller.ts","228","StaffGuard;PermissaoGuard","'finance.bills_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/financeiro/contas-bancarias","apps/api/src/admin/financeiro.controller.ts","247","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/financeiro/contas-bancarias","apps/api/src/admin/financeiro.controller.ts","253","StaffGuard;PermissaoGuard","'finance.bills_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/financeiro/transferencias","apps/api/src/admin/financeiro.controller.ts","277","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/financeiro/transferencias","apps/api/src/admin/financeiro.controller.ts","289","StaffGuard;PermissaoGuard","'finance.bills_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/financeiro/clientes/:id/resumo","apps/api/src/admin/financeiro.controller.ts","328","StaffGuard;PermissaoGuard","'customers.view';'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/financeiro/clientes/:id/fiado","apps/api/src/admin/financeiro.controller.ts","347","StaffGuard;PermissaoGuard","'customers.view';'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/financeiro/clientes/:id/limite","apps/api/src/admin/financeiro.controller.ts","366","StaffGuard;PermissaoGuard","'finance.credit_limit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/financeiro/clientes/:id/saldo-inicial","apps/api/src/admin/financeiro.controller.ts","386","StaffGuard;PermissaoGuard","'finance.credit_limit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/fiscal/municipal","apps/api/src/admin/fiscal-municipal.controller.ts","40","StaffGuard;PermissaoGuard","'fiscal.settings'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/fiscal/municipal/configuracao","apps/api/src/admin/fiscal-municipal.controller.ts","47","StaffGuard;PermissaoGuard","'fiscal.settings'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/fiscal/nacional","apps/api/src/admin/fiscal-nacional.controller.ts","42","StaffGuard;PermissaoGuard","'fiscal.settings'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/fiscal/nacional/configuracao","apps/api/src/admin/fiscal-nacional.controller.ts","49","StaffGuard;PermissaoGuard","'fiscal.settings'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/fiscal/nacional/certificado","apps/api/src/admin/fiscal-nacional.controller.ts","56","StaffGuard;PermissaoGuard","'fiscal.settings'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/fiscal/nacional/certificado","apps/api/src/admin/fiscal-nacional.controller.ts","65","StaffGuard;PermissaoGuard","'fiscal.settings'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/fiscal/nacional/notas/:id/xml","apps/api/src/admin/fiscal-nacional.controller.ts","71","StaffGuard;PermissaoGuard","'fiscal.view';'customers.view'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/fiscal/nacional/notas/:id/pdf","apps/api/src/admin/fiscal-nacional.controller.ts","84","StaffGuard;PermissaoGuard","'fiscal.view';'customers.view'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/fiscal/configuracao","apps/api/src/admin/fiscal.controller.ts","126","StaffGuard;PermissaoGuard","'fiscal.settings'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/fiscal/configuracao","apps/api/src/admin/fiscal.controller.ts","145","StaffGuard;PermissaoGuard","'fiscal.settings'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/fiscal/notas","apps/api/src/admin/fiscal.controller.ts","207","StaffGuard;PermissaoGuard","'fiscal.view';'finance.view'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/fiscal/notas/comanda/:id","apps/api/src/admin/fiscal.controller.ts","256","StaffGuard;PermissaoGuard","'fiscal.view';'customers.view'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/fiscal/tomador/:id","apps/api/src/admin/fiscal.controller.ts","281","StaffGuard;PermissaoGuard","'customers.edit'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/fiscal/notas/comanda/:id","apps/api/src/admin/fiscal.controller.ts","309","StaffGuard;PermissaoGuard","'fiscal.issue'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/fiscal/notas/:id/cancelar","apps/api/src/admin/fiscal.controller.ts","333","StaffGuard;PermissaoGuard","'fiscal.issue'","'fiscal'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/franquia/padrao","apps/api/src/admin/franquia.controller.ts","71","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/franquia/padrao","apps/api/src/admin/franquia.controller.ts","79","StaffGuard;PermissaoGuard","'franchise.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/franquia/padrao/:itemId","apps/api/src/admin/franquia.controller.ts","109","StaffGuard;PermissaoGuard","'franchise.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/franquia/adocao","apps/api/src/admin/franquia.controller.ts","133","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/imports","apps/api/src/admin/importacao.controller.ts","84","StaffGuard;PermissaoGuard","'customers.edit'","'importacao'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/imports/:id","apps/api/src/admin/importacao.controller.ts","92","StaffGuard;PermissaoGuard","'customers.edit'","'importacao'","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/imports","apps/api/src/admin/importacao.controller.ts","113","StaffGuard;PermissaoGuard","'customers.edit'","'importacao'","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/imports/:id/conflicts","apps/api/src/admin/importacao.controller.ts","138","StaffGuard;PermissaoGuard","'customers.edit'","'importacao'","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/imports/:id/apply","apps/api/src/admin/importacao.controller.ts","164","StaffGuard;PermissaoGuard","'customers.edit'","'importacao'","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/imports/:id/revert","apps/api/src/admin/importacao.controller.ts","186","StaffGuard;PermissaoGuard","'customers.edit'","'importacao'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/slugs","apps/api/src/admin/importacao.controller.ts","208","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/slugs","apps/api/src/admin/importacao.controller.ts","214","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/insights","apps/api/src/admin/insight.controller.ts","69","StaffGuard;PermissaoGuard","'appointments.view_all_professionals';'customers.view';'customers.view_notes';'finance.view';'inventory.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/customers/:id/consentimentos","apps/api/src/admin/lgpd.controller.ts","77","StaffGuard;PermissaoGuard","'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/customers/:id/consentimentos","apps/api/src/admin/lgpd.controller.ts","111","StaffGuard;PermissaoGuard","'customers.edit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/customers/:id/dados","apps/api/src/admin/lgpd.controller.ts","197","StaffGuard;PermissaoGuard","'customers.export';'finance.view';'customers.view_notes';'feedback.view';'customers.view_photos'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/customers/lgpd/retencao","apps/api/src/admin/lgpd.controller.ts","241","StaffGuard;PermissaoGuard","'settings.manage';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/customers/lgpd/pedidos","apps/api/src/admin/lgpd.controller.ts","258","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/customers/:id/lgpd/pedidos","apps/api/src/admin/lgpd.controller.ts","276","StaffGuard;PermissaoGuard","'customers.edit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/customers/lgpd/pedidos/:pedidoId","apps/api/src/admin/lgpd.controller.ts","295","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/customers/:id/anonimizar","apps/api/src/admin/lgpd.controller.ts","337","StaffGuard;PermissaoGuard","'customers.anonymize'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/metricas","apps/api/src/admin/metrica.controller.ts","82","StaffGuard;PermissaoGuard","'appointments.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/metricas/conversar","apps/api/src/admin/metrica.controller.ts","122","StaffGuard;PermissaoGuard","'appointments.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/metricas/perguntar","apps/api/src/admin/metrica.controller.ts","153","StaffGuard;PermissaoGuard","'appointments.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/mfa","apps/api/src/admin/mfa.controller.ts","57","StaffGuard;PermissaoGuard","","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/mfa/setup","apps/api/src/admin/mfa.controller.ts","94","StaffGuard;PermissaoGuard","","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/mfa/confirm","apps/api/src/admin/mfa.controller.ts","108","StaffGuard;PermissaoGuard","","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/mfa/verify","apps/api/src/admin/mfa.controller.ts","128","StaffGuard;PermissaoGuard","","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/mfa/policy","apps/api/src/admin/mfa.controller.ts","172","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/mfa/disable","apps/api/src/admin/mfa.controller.ts","217","StaffGuard;PermissaoGuard","","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/unidades","apps/api/src/admin/multiunidade.controller.ts","101","StaffGuard;PermissaoGuard","","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/unidades/escolher","apps/api/src/admin/multiunidade.controller.ts","107","StaffGuard;PermissaoGuard","","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/unidades/cadastro","apps/api/src/admin/multiunidade.controller.ts","134","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/unidades/cadastro","apps/api/src/admin/multiunidade.controller.ts","140","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/unidades/cadastro/:id","apps/api/src/admin/multiunidade.controller.ts","162","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/unidades/equipe","apps/api/src/admin/multiunidade.controller.ts","188","StaffGuard;PermissaoGuard","'team.manage';'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/unidades/equipe/:id","apps/api/src/admin/multiunidade.controller.ts","208","StaffGuard;PermissaoGuard","'team.manage';'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/estoque/transferencias","apps/api/src/admin/multiunidade.controller.ts","230","StaffGuard;PermissaoGuard","'inventory.adjust'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/estoque/transferencias","apps/api/src/admin/multiunidade.controller.ts","257","StaffGuard;PermissaoGuard","'inventory.adjust'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/pacotes/catalogo","apps/api/src/admin/pacote.controller.ts","61","StaffGuard;PermissaoGuard","'appointments.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/pacotes/catalogo","apps/api/src/admin/pacote.controller.ts","67","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/pacotes/catalogo/:id","apps/api/src/admin/pacote.controller.ts","92","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/pacotes/clientes/:id","apps/api/src/admin/pacote.controller.ts","119","StaffGuard;PermissaoGuard","'customers.view';'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/pacotes/clientes/pacotes/:id/reembolsar","apps/api/src/admin/pacote.controller.ts","135","StaffGuard;PermissaoGuard","'finance.package_refund'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/pacotes/receita","apps/api/src/admin/pacote.controller.ts","167","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/dashboard","apps/api/src/admin/painel.controller.ts","92","StaffGuard;PermissaoGuard","'reports.operational'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/dashboard/revenue","apps/api/src/admin/painel.controller.ts","107","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/catalog/diagnosis","apps/api/src/admin/painel.controller.ts","121","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/audit","apps/api/src/admin/painel.controller.ts","129","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/audit/finance","apps/api/src/admin/painel.controller.ts","144","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/plano","apps/api/src/admin/plano.controller.ts","71","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/plano/cartao/checkout","apps/api/src/admin/plano.controller.ts","128","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/plano/cartao/conciliar","apps/api/src/admin/plano.controller.ts","142","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/plano/opcoes","apps/api/src/admin/plano.controller.ts","157","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/plano/marketplace","apps/api/src/admin/plano.controller.ts","193","StaffGuard;PermissaoGuard","'settings.manage';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/plano/marketplace/:id/contestar","apps/api/src/admin/plano.controller.ts","226","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/plano/faturas/:id/autenticacao","apps/api/src/admin/plano.controller.ts","249","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/plano/faturas","apps/api/src/admin/plano.controller.ts","259","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/plano","apps/api/src/admin/plano.controller.ts","287","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/precificacao","apps/api/src/admin/precificacao.controller.ts","44","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/precificacao/ligado","apps/api/src/admin/precificacao.controller.ts","59","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/precificacao/faixas","apps/api/src/admin/precificacao.controller.ts","70","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/precificacao/faixas/:id","apps/api/src/admin/precificacao.controller.ts","101","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/precificacao/recomendacoes","apps/api/src/admin/precificacao.controller.ts","130","StaffGuard;PermissaoGuard","'settings.manage';'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/pro/me","apps/api/src/admin/pro.controller.ts","59","StaffGuard;PermissaoGuard","'commission.view_own'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/pro/goals","apps/api/src/admin/pro.controller.ts","109","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/pro/goals","apps/api/src/admin/pro.controller.ts","120","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/recados","apps/api/src/admin/recado.controller.ts","57","StaffGuard;PermissaoGuard","'feedback.view';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/recados/:id/assumir","apps/api/src/admin/recado.controller.ts","84","StaffGuard;PermissaoGuard","'feedback.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/recados/:id/devolver","apps/api/src/admin/recado.controller.ts","106","StaffGuard;PermissaoGuard","'feedback.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/recados/:id/responder","apps/api/src/admin/recado.controller.ts","127","StaffGuard;PermissaoGuard","'feedback.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/recados/:id/encerrar","apps/api/src/admin/recado.controller.ts","148","StaffGuard;PermissaoGuard","'feedback.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/recepcao/lacunas","apps/api/src/admin/recepcao.controller.ts","32","StaffGuard;PermissaoGuard","'feedback.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/recepcao/lacunas/:id/resolver","apps/api/src/admin/recepcao.controller.ts","50","StaffGuard;PermissaoGuard","'feedback.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/rede/consolidado","apps/api/src/admin/rede.controller.ts","57","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/rede/meu-lugar","apps/api/src/admin/rede.controller.ts","70","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/rede/metas","apps/api/src/admin/rede.controller.ts","83","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/rede/metas","apps/api/src/admin/rede.controller.ts","97","StaffGuard;PermissaoGuard","'finance.view';'franchise.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/segments","apps/api/src/admin/segmento.controller.ts","24","StaffGuard;PermissaoGuard","'customers.view';'customers.view_notes'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/sessoes","apps/api/src/admin/sessoes.controller.ts","38","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/sessoes/:id","apps/api/src/admin/sessoes.controller.ts","72","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/sessoes/suporte/tudo","apps/api/src/admin/sessoes.controller.ts","99","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/appointments/:id/deposit","apps/api/src/admin/sinal.controller.ts","69","StaffGuard;PermissaoGuard","'finance.deposit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/appointments/:id/deposit","apps/api/src/admin/sinal.controller.ts","83","StaffGuard;PermissaoGuard","'finance.deposit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/appointments/:id/deposit","apps/api/src/admin/sinal.controller.ts","107","StaffGuard;PermissaoGuard","'finance.deposit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/customers/:id/reliability","apps/api/src/admin/sinal.controller.ts","131","StaffGuard;PermissaoGuard","'finance.deposit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/customers/:id/reliability","apps/api/src/admin/sinal.controller.ts","141","StaffGuard;PermissaoGuard","'customers.reliability_override'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/split","apps/api/src/admin/split.controller.ts","87","StaffGuard;PermissaoGuard","'commission.view_all'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/split/meus","apps/api/src/admin/split.controller.ts","111","StaffGuard;PermissaoGuard","'commission.view_own'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/split/venda/:id","apps/api/src/admin/split.controller.ts","130","StaffGuard;PermissaoGuard","'commission.view_all'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/split/recebedores","apps/api/src/admin/split.controller.ts","150","StaffGuard;PermissaoGuard","'commission.view_all'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/split/recebedores/:id","apps/api/src/admin/split.controller.ts","164","StaffGuard;PermissaoGuard","'finance.split_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/split/configuracao","apps/api/src/admin/split.controller.ts","198","StaffGuard;PermissaoGuard","'finance.split_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/team","apps/api/src/admin/team.controller.ts","89","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/team/permissoes/:papel","apps/api/src/admin/team.controller.ts","112","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/team","apps/api/src/admin/team.controller.ts","142","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/team/:id/role","apps/api/src/admin/team.controller.ts","168","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/team/:id/active","apps/api/src/admin/team.controller.ts","191","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/team/:id/reset-password","apps/api/src/admin/team.controller.ts","213","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/team/invite","apps/api/src/admin/team.controller.ts","242","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/me","apps/api/src/admin/team.controller.ts","280","StaffGuard;PermissaoGuard","","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/me/password","apps/api/src/admin/team.controller.ts","291","StaffGuard;PermissaoGuard","","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/webhooks","apps/api/src/admin/webhooks.controller.ts","54","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/webhooks","apps/api/src/admin/webhooks.controller.ts","64","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/webhooks/:endpointId","apps/api/src/admin/webhooks.controller.ts","88","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/whatsapp/conexao","apps/api/src/admin/whatsapp-conexao.controller.ts","29","StaffGuard;PermissaoGuard","'whatsapp.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/whatsapp/conexao","apps/api/src/admin/whatsapp-conexao.controller.ts","42","StaffGuard;PermissaoGuard","'whatsapp.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/whatsapp/conexao/baileys/parear","apps/api/src/admin/whatsapp-conexao.controller.ts","48","StaffGuard;PermissaoGuard","'whatsapp.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/whatsapp/conexao/baileys/reconectar","apps/api/src/admin/whatsapp-conexao.controller.ts","53","StaffGuard;PermissaoGuard","'whatsapp.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/whatsapp/conexao/baileys","apps/api/src/admin/whatsapp-conexao.controller.ts","58","StaffGuard;PermissaoGuard","'whatsapp.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/whatsapp/conexao/baileys/textos","apps/api/src/admin/whatsapp-conexao.controller.ts","63","StaffGuard;PermissaoGuard","'whatsapp.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/whatsapp/conexao/baileys/textos/:id","apps/api/src/admin/whatsapp-conexao.controller.ts","69","StaffGuard;PermissaoGuard","'whatsapp.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/whatsapp/manual","apps/api/src/admin/whatsapp-manual.controller.ts","40","StaffGuard;PermissaoGuard","'marketing.send';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/whatsapp/manual/textos","apps/api/src/admin/whatsapp-manual.controller.ts","45","StaffGuard;PermissaoGuard","'marketing.send'","","Inventariado; correlacionar com evidências, não implica rota testada"
